Frame Number,Timecode,adaptive_ratio (w=2),average_rgb,content_val,delta_edges,delta_hue,delta_lum,delta_sat
8451,00:04:41.667,0.8360063442838104,2.8658311631944446,6.3401059751157405,13.149820963541666,4.866861979166667,6.933620876736111,7.219835069444445
8452,00:04:41.700,0.6286786142002788,2.6689905237268516,4.514096860532407,9.414469401041666,3.345675998263889,3.7309027777777777,6.465711805555555
8453,00:04:41.733,0.8092162566352774,8.097963686342593,5.565502025462963,10.2099609375,4.924696180555555,6.120035807291667,5.651774088541667
8454,00:04:41.767,1.1233701647467313,13.143247251157407,7.863733362268519,8.618977864583334,9.578803168402779,7.206244574652778,6.80615234375
8455,00:04:41.800,1.087795613505434,18.517225477430557,8.792643229166666,11.773274739583334,12.00949435763889,8.336751302083334,6.031684027777778
8456,00:04:41.833,0.9982435786793938,23.356309678819443,9.128264250578704,13.772379557291666,13.70849609375,8.668104383680555,5.008192274305555
8457,00:04:41.867,0.9828757018816406,28.32086407696759,9.774468315972221,12.755533854166666,14.412760416666666,9.494384765625,5.416259765625
8458,00:04:41.900,0.9502359464214264,32.99768518518518,10.146457248263888,15.204264322916666,14.749186197916666,9.436170789930555,6.254014756944445
8459,00:04:41.933,1.042679190108708,37.506600839120374,11.711697048611109,13.723958333333334,18.30292426215278,9.77468532986111,7.057481553819445
8460,00:04:41.967,1.004347883208117,41.853488498263886,12.096887659143519,89.97355143229167,19.640543619791668,9.998236762152779,6.651882595486111
8461,00:04:42.000,1.0192120152585475,45.90549949363426,12.911431206597223,33.057861328125,21.407850477430557,10.10498046875,7.221462673611111
8462,00:04:42.033,1.0192686236640922,50.13870804398148,13.408492476851853,34.669596354166664,22.502360026041668,10.524468315972221,7.198649088541667
8463,00:04:42.067,1.0048728258794104,53.512143735532405,13.455132378472221,33.846435546875,23.31716579861111,10.067192925347221,6.981038411458333
8464,00:04:42.100,1.0739652900717134,57.17900933159722,14.156602647569445,30.207926432291668,24.957194010416668,10.519883897569445,6.992730034722222
8465,00:04:42.133,0.989915448081722,58.903238932291664,13.083016854745372,25.102945963541668,24.086018880208332,8.883626302083334,6.279405381944445
8466,00:04:42.167,1.004946168092923,61.017026548032405,12.779839409722223,24.577229817708332,22.69843207465278,9.28244357638889,6.358642578125
8467,00:04:42.200,1.0207804984352329,62.747983579282405,12.47361472800926,21.671956380208332,21.520751953125,8.80612521701389,7.093967013888889
8468,00:04:42.233,0.9067440319021339,64.86085792824075,11.15452293113426,20.758870442708332,18.08867730034722,8.887830946180555,6.487060546875
8469,00:04:42.267,1.0120075366063324,67.24369755497685,11.861355251736112,20.890299479166668,18.73676215277778,9.260877821180555,7.58642578125
8470,00:04:42.300,1.089087135839655,69.26123046875,12.092122395833334,20.731201171875,20.13129340277778,9.16775173611111,6.977322048611111
8471,00:04:42.333,0.9994102076579089,71.84526005497685,11.162217881944443,18.939615885416668,17.24658203125,9.67428927951389,6.565782335069445
8472,00:04:42.367,0.9229160278950217,74.14927842881944,10.233859592013888,21.049397786458332,14.472493489583334,9.457085503472221,6.771999782986111
8473,00:04:42.400,0.9787879874684868,76.22322591145833,10.487883391203704,19.949544270833332,14.790771484375,9.55466037326389,7.118218315972222
8474,00:04:42.433,1.0016615013682262,78.72509765625,10.612232349537036,20.606689453125,15.144449869791666,9.706108940972221,6.986138237847222
8475,00:04:42.467,0.9899492503230753,81.04658564814815,10.852385344328704,21.021728515625,15.68408203125,9.99343532986111,6.879638671875
8476,00:04:42.500,0.9948241012425529,83.73554144965277,10.804389105902779,21.132405598958332,15.18408203125,10.329264322916666,6.899820963541667
8477,00:04:42.533,1.1156661242200043,86.15304904513889,11.945764612268519,21.056315104166668,18.43527560763889,10.497233072916666,6.90478515625
8478,00:04:42.567,0.8752457891898908,88.78523763020833,10.032027633101853,22.232259114583332,12.714762369791666,10.44677734375,6.934543185763889
8479,00:04:42.600,0.9641138286232099,91.82367621527777,11.140371817129628,23.837076822916668,14.550645616319445,11.005560980902779,7.864908854166667
8480,00:04:42.633,1.176340921377995,95.03653067129629,11.95729347511574,23.774820963541668,16.325086805555557,11.37890625,8.167887369791666
8481,00:04:42.667,1.5660533784642447,97.93777126736111,12.285065827546296,25.248209635416668,18.33940972222222,11.188123914930555,7.327663845486111
8482,00:04:42.700,1.0998982564111062,99.47322591145833,7.201813874421297,17.742919921875,10.63161892361111,7.075602213541667,3.898220486111111
8483,00:04:42.733,0.20398016116383283,99.58362268518519,1.078929759837963,1.6048177083333333,1.9857042100694444,0.7540418836805556,0.4970431857638889
8484,00:04:42.767,0.2477065283607425,99.710693359375,0.8695475260416666,1.6048177083333333,1.4031304253472223,0.7594129774305556,0.4460991753472222
8485,00:04:42.800,0.3786297710943134,99.76298466435185,0.8011158130787037,1.4388020833333333,1.337890625,0.6791178385416666,0.3863389756944444
8486,00:04:42.833,3.8899960284814616,99.9527000144676,4.959716796875,3.4586588541666665,11.97195095486111,1.1848958333333333,1.7223036024305556
8487,00:04:42.867,0.6856124593751773,100.01312934027777,1.5551215277777777,1.9091796875,3.2134602864583335,0.8075086805555556,0.6443956163194444
8488,00:04:42.900,0.854505820694773,100.00859013310185,1.8741861979166667,2.178955078125,4.076388888888889,0.7994520399305556,0.7467176649305556
8489,00:04:42.933,1.1606402545836738,100.1224952980324,1.4378707320601851,1.8330891927083333,3.013916015625,0.7286512586805556,0.571044921875
